"gi_id","gi_name","upt_id","ultg_id","lat","lng","exact_map_url","provenance_source_url","verification_status"
"MTU-GI-UPT-GRS-GI-150KV-BUNGAH-2a1753ca747a4a19","GI 150KV BUNGAH","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.0928125","112.6001875","https://www.google.com/maps/search/?api=1&query=-7.0928125,112.6001875","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BUNGAH&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-CERME","GI 150KV CERME","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.182737","112.5783574","https://www.google.com/maps/search/?api=1&query=-7.182737,112.5783574","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20CERME&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-GILITIMUR","GI 150KV GILITIMUR","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.1481496","112.718996","https://www.google.com/maps/search/?api=1&query=-7.1481496,112.718996","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GILITIMUR&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-GULUK-GULUK","GI 150KV GULUK GULUK","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GULUK%20GULUK&hl=id&gl=id","manual_review"
"MTU-GI-UPT-GRS-GI-150KV-GULUK-GULUK-e667ca710e304e4c","GI 150KV GULUK-GULUK","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20GULUK-GULUK&hl=id&gl=id","manual_review"
"MTU-GI-UPT-GRS-GI-150KV-MANYAR","GI 150KV MANYAR","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.1283719","112.6130394","https://www.google.com/maps/search/?api=1&query=-7.1283719,112.6130394","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20MANYAR&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-PAMEKASAN-d0863a4a6e059387","GI 150KV PAMEKASAN","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.1471602","113.45509","https://www.google.com/maps/search/?api=1&query=-7.1471602,113.45509","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PAMEKASAN&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-PETROKIMIA","GI 150KV PETROKIMIA","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.1523405","112.6357876","https://www.google.com/maps/search/?api=1&query=-7.1523405,112.6357876","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PETROKIMIA&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-PLTU-GRESIK","GI 150KV PLTU GRESIK","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.1682899","112.6613587","https://www.google.com/maps/search/?api=1&query=-7.1682899,112.6613587","https://www.google.com/search?tbm=map&q=GI%20PLTU%20GRESIK&hl=id&gl=id","verified_candidate_final"
"MTU-GI-UPT-GRS-GI-150KV-SAMBIKEREP-5e914dee41402ff4","GI 150KV SAMBIKEREP","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.2624486","112.6428288","https://www.google.com/maps/search/?api=1&query=-7.2624486,112.6428288","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SAMBIKEREP&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-SAMPANG-567296a8598bf4bd","GI 150KV SAMPANG","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.1800353","113.2380933","https://www.google.com/maps/search/?api=1&query=-7.1800353,113.2380933","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SAMPANG&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-SEGOROMADU-ef349984c3c145b4","GI 150KV SEGOROMADU","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SEGOROMADU&hl=id&gl=id","manual_review"
"MTU-GI-UPT-GRS-GI-150KV-SUMENEP-4ed85b2f4ccae079","GI 150KV SUMENEP","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.0092352","113.8355596","https://www.google.com/maps/search/?api=1&query=-7.0092352,113.8355596","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SUMENEP&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-150KV-WILMAR-21e8b2bad98d82ef","GI 150KV WILMAR","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.1745596","112.6664598","https://www.google.com/maps/search/?api=1&query=-7.1745596,112.6664598","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20WILMAR&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-GRS-GI-70KV-BARATA-b7a6cc1310843034","GI 70KV BARATA","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20BARATA&hl=id&gl=id","unverified"
