"gi_id","gi_name","lat","lng","place_id","poi_title","url","status"
"MTU-GI-UPT-MDN-GIS-150KV-PLTU-PACITAN-0945ac726526a4ca","GIS 150KV PLTU PACITAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20PLTU%20PACITAN&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GITET-500KV-NGIMBANG-26476352f9d00a03","GITET 500KV NGIMBANG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20GITET%20500KV%20NGIMBANG&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-NEWWLINGI-d2c8f9a14f020aea","GI 150KV NEWWLINGI","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NEWWLINGI&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-SEKARPUTIH","GI 150KV SEKARPUTIH","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SEKARPUTIH&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-SENGKALING","GI 150KV SENGKALING","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SENGKALING&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-SURABAYA-BARAT","GI 150KV SURABAYA BARAT","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SURABAYA%20BARAT&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-SUTAMI","GI 150KV SUTAMI","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SUTAMI&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-150KV-WLINGI-01508f3af230b558","GI 150KV WLINGI","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20WLINGI&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-AJINOMOTO","GI 70KV AJINOMOTO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20AJINOMOTO&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-BANGUN-1a52bc2115774b98","GI 70KV BANGUN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20BANGUN&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-MENDALAN","GI 70KV MENDALAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20MENDALAN&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-PLOSO","GI 70KV PLOSO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20PLOSO&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-SEKARPUTIH","GI 70KV SEKARPUTIH","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SEKARPUTIH&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-SELOREJO-7d2bfd622989fb4d","GI 70KV SELOREJO","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SELOREJO&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-SENGGURUH","GI 70KV SENGGURUH","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SENGGURUH&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-SENGKALING-b1f2eaf4795c7778","GI 70KV SENGKALING","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20SENGKALING&hl=id&gl=id","none"
"MTU-GI-UPT-MLG-GI-70KV-WLINGI-26a7da0a593ba125","GI 70KV WLINGI","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20WLINGI&hl=id&gl=id","none"
"MTU-GI-UPT-PBG-GI-150KV-GENTENG-ee8b88d07fa1df65","GI 150KV GENTENG","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20GENTENG&hl=id&gl=id","none"
"MTU-GI-UPT-PBG-GI-150KV-NEWPANDAAN-d8f3e4f7d877aade","GI 150KV NEWPANDAAN","","","","","https://www.google.com/search?tbm=map&q=PLN%20GI%20NEWPANDAAN&hl=id&gl=id","none"
