id,normalized_name,upt_id,ultg_id
MTU-GI-UPT-MLG-GI-150KV-BAMBE-1eb9390e7c3e7a3a,GI 150KV BAMBE,UPT-MLG,MTU-ULTG-UPT-MLG-KRIAN
MTU-GI-UPT-MLG-GI-150KV-KASIHJATIM,GI 150KV KASIHJATIM,UPT-MLG,MTU-ULTG-UPT-MLG-KRIAN
MTU-GI-UPT-MLG-GI-150KV-KEBONAGUNG,GI 150KV KEBONAGUNG,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-150KV-LAWANG,GI 150KV LAWANG,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-150KV-MOJOAGUNG-7536f87791fb9d7f,GI 150KV MOJOAGUNG,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-150KV-NEWWLINGI-d2c8f9a14f020aea,GI 150KV NEWWLINGI,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-150KV-NGORO-9508dba3ae79d1d7,GI 150KV NGORO,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-150KV-PAKIS,GI 150KV PAKIS,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-150KV-SEKARPUTIH,GI 150KV SEKARPUTIH,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-150KV-SENGKALING,GI 150KV SENGKALING,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-150KV-SURABAYA-BARAT,GI 150KV SURABAYA BARAT,UPT-MLG,MTU-ULTG-UPT-MLG-KRIAN
MTU-GI-UPT-MLG-GI-150KV-SUTAMI,GI 150KV SUTAMI,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-150KV-WLINGI-01508f3af230b558,GI 150KV WLINGI,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-AJINOMOTO,GI 70KV AJINOMOTO,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-70KV-BANGUN-1a52bc2115774b98,GI 70KV BANGUN,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-70KV-BLIMBING,GI 70KV BLIMBING,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-DRIYOREJO-d37ab07491e33625,GI 70KV DRIYOREJO,UPT-MLG,MTU-ULTG-UPT-MLG-KRIAN
MTU-GI-UPT-MLG-GI-70KV-GAMPINGAN,GI 70KV GAMPINGAN,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-KARANGKATES,GI 70KV KARANGKATES,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-KEBONAGUNG-2a609f7c6b74eb72,GI 70KV KEBONAGUNG,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-MENDALAN,GI 70KV MENDALAN,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-70KV-MIWON-ea8958b3bc950426,GI 70KV MIWON,UPT-MLG,MTU-ULTG-UPT-MLG-KRIAN
MTU-GI-UPT-MLG-GI-70KV-PLOSO,GI 70KV PLOSO,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-70KV-POLEHAN,GI 70KV POLEHAN,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
MTU-GI-UPT-MLG-GI-70KV-SEKARPUTIH,GI 70KV SEKARPUTIH,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
MTU-GI-UPT-MLG-GI-70KV-SELOREJO-7d2bfd622989fb4d,GI 70KV SELOREJO,UPT-MLG,MTU-ULTG-UPT-MLG-MALANG
