"gi_id","gi_name","lat","lng","poi_title","url","status"
"MTU-GI-UPT-MDN-GI-70KV-DOLOPO","GI 70KV DOLOPO","-7.747163","111.528364","PT. PLN Gardu Induk 70 Kv Dolopo","https://www.google.com/search?tbm=map&q=GI%20DOLOPO&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-70KV-GUDANGGARAM-6409d92e40cd308b","GI 70KV GUDANGGARAM","","","","https://www.google.com/search?tbm=map&q=GI%20GUDANGGARAM&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-PACITAN-052586919e420f0a","GI 70KV PACITAN","-8.1833567","111.1132916","PT PLN (Persero) GI New Pacitan","https://www.google.com/search?tbm=map&q=GI%20PACITAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-70KV-PLTA-TULUNGAGUNG-0652fdd655039227","GI 70KV PLTA TULUNGAGUNG","","","","https://www.google.com/search?tbm=map&q=GI%20PLTA%20TULUNGAGUNG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-TRENGGALEK","GI 70KV TRENGGALEK","","","","https://www.google.com/search?tbm=map&q=GI%20TRENGGALEK&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GI-70KV-TULUNGAGUNG","GI 70KV TULUNGAGUNG","","","","https://www.google.com/search?tbm=map&q=GI%20TULUNGAGUNG&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GIS-150KV-PLTU-PACITAN-0945ac726526a4ca","GIS 150KV PLTU PACITAN","","","","https://www.google.com/search?tbm=map&q=GI%20PLTU%20PACITAN&hl=id&gl=id","none"
"MTU-GI-UPT-MDN-GITET-500KV-NGIMBANG-26476352f9d00a03","GITET 500KV NGIMBANG","-7.286706199999999","112.18903139999999","GITET Ngimbang","https://www.google.com/search?tbm=map&q=GI%20GITET%20500KV%20NGIMBANG&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-NEWWLINGI-d2c8f9a14f020aea","GI 150KV NEWWLINGI","-8.069295","112.31490649999999","Gardu Induk Bening Wlingi","https://www.google.com/search?tbm=map&q=GI%20NEWWLINGI&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-SEKARPUTIH","GI 150KV SEKARPUTIH","-7.4693143","112.4607408","PLN GI Sekar Putih","https://www.google.com/search?tbm=map&q=GI%20SEKARPUTIH&hl=id&gl=id","candidate"
