"gi_id","gi_name","upt_id","ultg_id","lat","lng","place_id","poi_title","poi_address","source_url","status"
"MTU-GI-UPT-MLG-GI-150KV-MOJOAGUNG-7536f87791fb9d7f","GI 150KV MOJOAGUNG","UPT-MLG","MTU-ULTG-UPT-MLG-MOJOKERTO","-7.5908345","112.3441972","0x2e786c72ca7cec9d:0x4fbc3b6fdb6a62cd","PLN Gardu Induk 150KV Mojoagung","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20MOJOAGUNG&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-NEGARA","GI 150KV NEGARA","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.3646387","114.6603329","0x2dd3d8820451b3fd:0xfd767ceb2cb11080","Gardu Induk Negara","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEGARA&hl=id&gl=id","candidate"
"MTU-GI-KHS-8ec4137f100d9d9f765b09cb","GI 150KV NEW NGANJUK","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEW%20NGANJUK&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-150KV-NEWPACITAN-88f1d4b208729db7","GI 150KV NEWPACITAN","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEWPACITAN&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-PBG-GI-150KV-NEWPANDAAN-d8f3e4f7d877aade","GI 150KV NEWPANDAAN","UPT-PBG","MTU-ULTG-UPT-PBG-BANGIL","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEWPANDAAN&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-150KV-NEWPONOROGO-10277bd25a02c7c9","GI 150KV NEWPONOROGO","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEWPONOROGO&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-PBG-GI-150KV-NEWPORONG-3a7f82e0b8123577","GI 150KV NEWPORONG","UPT-PBG","MTU-ULTG-UPT-PBG-BANGIL","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEWPORONG&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-150KV-NEWTULUNGAGUNG-fa4ed2495a6e2db5","GI 150KV NEWTULUNGAGUNG","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEWTULUNGAGUNG&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MLG-GI-150KV-NEWWLINGI-d2c8f9a14f020aea","GI 150KV NEWWLINGI","UPT-MLG","MTU-ULTG-UPT-MLG-MALANG","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEWWLINGI&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-150KV-NGANJUK-II-7a4a9613f006aa6e","GI 150KV NGANJUK II","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NGANJUK%20II&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-150KV-NGAWI","GI 150KV NGAWI","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","-7.4071146","111.4569174","0x2e79e7e500000001:0xd76a97c62a3197e3","Gardu Induk PLN Ngawi","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NGAWI&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-NGIMBANG","GI 150KV NGIMBANG","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-7.286785399999999","112.189246","0x2e78217eb381bfc5:0x787daf7476b5a068","Gardu Induk PLN Ngimbang","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NGIMBANG&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-NGORO-9508dba3ae79d1d7","GI 150KV NGORO","UPT-MLG","MTU-ULTG-UPT-MLG-MOJOKERTO","-7.557109","112.6127666","0x2e7875820a160415:0x68138ecc9166664","PLN Gardu Induk Ngoro","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NGORO&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-NUSADUA","GI 150KV NUSADUA","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.797813699999999","115.22249049999999","0x2dd2433b1335420d:0x1cbfa1759bf83a70","GARDU INDUK PLN NUSA DUA","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NUSADUA&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-PACIRAN-530b7eff2f3e07db","GI 150KV PACIRAN","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PACIRAN&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-BLI-GI-150KV-PADANG-SAMBIAN-259c58a2990f0d0f","GI 150KV PADANG SAMBIAN","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN...","-8.666824199999999","115.18736659999999","0x2dd2474ca1fe5557:0x85de851e7654830d","Gardu Induk Padang Sambian","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PADANG%20SAMBIAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-PBG-GI-150KV-PAITON","GI 150KV PAITON","UPT-PBG","MTU-ULTG-UPT-PBG-PROBOLINGGO","-7.7184905","113.5817125","0x2dd71cb12791246d:0x268527aad17317e9","GITET Paiton","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PAITON&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-PAKIS","GI 150KV PAKIS","UPT-MLG","MTU-ULTG-UPT-MLG-MALANG","-7.967153","112.68057809999999","0x2dd6293f55b3a191:0x13f7d3ceb1eb2a79","Gardu Induk Pakis","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PAKIS&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-PAMEKASAN-d0863a4a6e059387","GI 150KV PAMEKASAN","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.1471602","113.45509","0x2dd9d5f53c4c847b:0xd64a9d3e5714a3bb","PT. PLN (Persero) Gardu Induk 150kV Pamekasan","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PAMEKASAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-PAYANGAN-d4a07fcc94285991","GI 150KV PAYANGAN","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.444278599999999","115.24229679999999","0x2dd22255d59ad08f:0x9fbeb6a908d497c","Gardu Induk Payangan","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PAYANGAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-PEMARON","GI 150KV PEMARON","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-UTARA","-8.1357532","115.059445","0x2dd19a580e25288f:0x43d22a25af0613e6","PLN GARDU INDUK PEMARON","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PEMARON&hl=id&gl=id","candidate"
"MTU-GI-UPT-BLI-GI-150KV-PEMECUTAN-KELOD-b5092250971ccdd1","GI 150KV PEMECUTAN KELOD","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELAT...","-8.6902197","115.1900826","0x2dd2472ad2efe099:0xd2f93f711cdc01b","PT PLN (PERSERO) ULTG Bali Selatan \u0026 Gardu Induk Pemecutan Kelod","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PEMECUTAN%20KELOD&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-150KV-PERAK","GI 150KV PERAK","UPT-SBY","ULTG-PLNM","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PERAK&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-BLI-GI-150KV-PESANGGARAN-158430b58f6e60c7","GI 150KV PESANGGARAN","UPT-BLI","MTU-ULTG-UPT-BLI-BALI-SELATAN","-8.718229899999999","115.2106599","0x2dd241425ba49c41:0x1cf2da263c1ad551","Gardu Induk Pesanggaran","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PESANGGARAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-PETROKIMIA","GI 150KV PETROKIMIA","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.152340499999999","112.6357876","0x2dd8006271c29e0f:0xba13ee09ea04864d","PLN GI Petrokimia","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20PETROKIMIA&hl=id&gl=id","candidate"
